line,fit,coef,oos_r,n,line_lab,weight
prior_calls_s,all lines,0.11678112100698004,0.27653335527379796,180,Calls his own plays,0.10469235328561692
prior_calls_s,decision lines only,0.1261503483351065,0.27606447092669884,180,Calls his own plays,0.10469235328561692
prior_defense_s,all lines,0.061115762061358554,0.27653335527379796,180,Defense above talent,0.14249072591483278
prior_defense_s,decision lines only,0.23656150137977006,0.27606447092669884,180,Defense above talent,0.14249072591483278
prior_fourth_s,all lines,0.19302834063766522,0.27653335527379796,180,Fourth downs,0.16722216319271987
prior_fourth_s,decision lines only,0.27762035553448505,0.27606447092669884,180,Fourth downs,0.16722216319271987
prior_offense_s,all lines,0.3348339392238878,0.27653335527379796,180,Offense above talent,0.33559475760683033
prior_offense_s,decision lines only,0.5571506440503556,0.27606447092669884,180,Offense above talent,0.33559475760683033
prior_penalties_s,all lines,-0.1103704294446622,0.27653335527379796,180,Penalties,0
prior_penalties_s,decision lines only,-0.09109908926988215,0.27606447092669884,180,Penalties,0
prior_two_s,all lines,-0.3232294698818037,0.27653335527379796,180,Going for two,0
prior_two_s,decision lines only,-0.4429780238079116,0.27606447092669884,180,Going for two,0
prior_wae17,all lines,0.2414798572792438,0.27653335527379796,180,Beats the spread,0.12499999999999999
prior_wat17,all lines,0.26882912794095265,0.27653335527379796,180,Results above resources,0.12499999999999999
