caller,respond,nk_light,nk_heavy,rotate_resid,n_shell
Raheem Morris,39.33100723321544,74.6845425867508,35.35353535353536,19.788011317049783,1322
Chris Shula,34.15164169474514,54.525862068965516,20.374220374220375,17.20047133109029,1476
Ejiro Evero,43.25184714578256,76.42886942010847,33.17702227432591,16.34022302515665,2381
Zach Orr,0.02714358958893115,70.44967880085653,70.4225352112676,12.139665059279965,1457
Dennard Wilson,60.70597730617671,93.0589184826473,32.35294117647059,9.088866270692659,1139
Anthony Weaver,64.57397429197377,93.99519615692554,29.421221864951768,8.991005087556708,1214
Leslie Frazier,4.31840427909701,98.30747531734838,93.98907103825137,7.993799577655444,727
Vic Fangio,48.557270973877635,90.78189300411522,42.22462203023758,7.524818261806828,2147
Sean McDermott,-0.36280025333144295,76.78482276585122,77.14762301918266,6.361028685295672,2055
Mike Macdonald,26.201767909822742,81.93947282785552,55.73770491803278,5.715251505515069,2977
Nick Rallis,49.35802379832905,81.3953488372093,32.03732503888025,4.437508957002888,1803
Brandon Staley,57.41480206540447,89.42857142857143,32.01376936316696,3.327721439894627,1760
Patrick Graham,20.974076321467102,72.30902777777779,51.334951456310684,2.939095257782548,2499
Joe Woods,55.907664188464906,78.99891186071817,23.09124767225326,1.9620343871163375,890
Jeff Hafley,79.73611676875811,95.15062454077884,15.414507772020725,1.584458293995454,1330
Shane Bowen,34.07277760192651,71.78294573643412,37.710168134507605,0.517366272733399,2425
Aaron Glenn,65.6141798520358,89.35587026039288,23.741690408357073,0.28345526249567826,2141
Jesse Minter,23.996493813926477,68.26119969627942,44.26470588235294,0.11979517245328443,1313
Brian Flores,13.45052121138383,60.41263700838169,46.96211579699786,-0.17474966302837702,1934
Joe Whitt Jr.,14.947418876913687,83.74052232518954,68.79310344827586,-0.19077723956272738,1012
Teryl Austin,50.04137483287759,73.32808811959087,23.286713286713287,-0.6225831854115688,2669
Todd Bowles,64.26427783967287,90.76803723816911,26.50375939849624,-0.7599720790613649,2830
Ed Donatell,54.31131537144708,97.94188861985472,43.63057324840764,-1.0020370054634498,734
Bill Belichick,-14.228435197225828,58.333333333333336,72.56176853055916,-1.0750711390437282,1311
Joe Barry,58.97352004536928,87.98586572438163,29.01234567901235,-1.664548526621522,1260
Matt Eberflus,56.435605587062014,94.79665071770334,38.36104513064133,-1.8121910832577965,1646
Dennis Allen,36.114180000086655,75.7799671592775,39.66578715919085,-2.1729823084762603,2274
Steve Spagnuolo,40.991681924141005,68.34830684174153,27.356624917600524,-2.4341458216180967,3014
Jack Del Rio,9.242180096203562,72.92069632495163,63.67851622874807,-2.645228102957409,1063
Dan Quinn,0.2994991980622643,53.102189781021906,52.80269058295964,-2.932220534188669,1600
Vance Joseph,53.232870610942015,73.68421052631578,20.451339915373765,-3.0748789347961893,2789
Ryan Nielsen,42.04680990821248,75.17934002869441,33.13253012048193,-3.4956696251452652,1277
Anthony Campanile,44.44295730864879,75.14204545454545,30.69908814589666,-3.5590462185241165,740
Jeff Ulbrich,57.40913607042898,95.3714981729598,37.962362102530825,-4.328976241048876,2447
Jonathan Gannon,46.83478621834785,93.18181818181817,46.34703196347032,-4.386147653835021,740
Mike Caldwell,68.17311439852236,89.69210174029452,21.518987341772153,-4.73714833351852,1447
Gus Bradley,34.87463581633087,90.42033235581623,55.545696539485355,-5.697129652017543,1839
Lou Anarumo,35.12192128740342,83.51608187134502,48.394160583941606,-5.983828797963886,2715
Steve Wilks,63.094000169726456,96.37735849056604,33.28335832083958,-6.540348472574119,1299
Jim Schwartz,44.10248786815541,80.84054388133498,36.73805601317957,-8.902836052348485,1776
DeMeco Ryans,48.80349777661592,94.12489728841413,45.32139951179821,-9.48953073300837,2201
Josh Boyer,57.06222328679272,62.688821752265866,5.626598465473146,-10.209801376125611,746
Clint Hurtt,38.393265537572766,76.71854734111544,38.32528180354267,-11.296145186031872,1317
Don Martindale,45.256944444444436,80.03472222222221,34.77777777777778,-11.673032785459107,1336
